관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자
3900000-101-2014-00181,빽다방광명사거리역점,186971.242981832,441933.615363579,영업/정상,2014-09-25,
3900000-101-2023-00047,메가엠지씨커피광명신촌휴먼시아점,190327.345575609,438471.587763776,영업/정상,2023-03-03,
3900000-101-2020-00018,컴포즈커피철산로데오점,188424.974390281,441529.437062425,영업/정상,2020-01-31,
3910000-101-2008-00123,더벤티(THE VENTl),207875.937088713,387846.125600018,폐업,2008-10-02,2018-09-11
3910000-101-2015-00383,커피에반하다(평택송화점),205159.713656678,384632.013088977,폐업,2015-12-18,2021-09-03
3910029-101-2018-00185,커피에반하다 고덕점,204562.026444903,393313.311957328,폐업,2018-12-20,2021-03-15
3910038-101-2019-00009,감성커피포승도곡초점,186349.18,387407.26,폐업,2019-01-15,2024-07-15
3910000-101-2016-00228,커피에반하다,204088.422834926,384733.213501571,폐업,2016-08-29,2022-10-28
3910000-101-2018-00124,감성커피평택법원점,208377.376963837,389813.16638727,영업/정상,2018-04-24,
3910029-101-2022-00327,메가엠지씨커피고덕STV점,201331.726637302,391652.010282968,영업/정상,2022-09-30,
3910000-101-2023-00097,감성커피 평택역점,207585.848685553,387913.414799816,영업/정상,2023-03-16,
3910000-101-2020-00150,메가엠지씨커피 평택여중점,208922.33032818,387818.78649916,영업/정상,2020-05-21,
3910029-101-2024-00114,메가엠지씨커피 송탄역사거리점,204851.764639429,396959.717029707,영업/정상,2024-04-22,
3910029-101-2019-00080,메가엠지씨커피(평택고덕삼성점),204614.006896526,393311.155276795,영업/정상,2019-05-21,
3910000-101-2023-00317,메가엠지씨 커피 평택안정로데오점,203896.05261358,384263.850687591,영업/정상,2023-08-08,
4000000-101-2024-00257,카카오솜사탕(빽다방전북임실점),206031.150721772,404908.780460804,폐업,2024-11-22,2024-12-15
4000000-101-2024-00274,카카오솜사탕(빽다방전북임실점),206031.150721772,404908.780460804,폐업,2024-12-13,2024-12-29
4000000-101-2020-00199,컴포즈커피오산대역점,205697.726441138,407518.841410523,영업/정상,2020-10-07,
4000000-101-2020-00016,컴포즈커피오산이마트점,206486.944071823,404277.57394721,영업/정상,2020-01-28,
4000000-101-2019-00189,컴포즈오산역점,206145.51832667,404973.485711226,영업/정상,2019-09-23,
4040000-101-2001-00059,이디야커피 하남덕풍점,217922.294434483,448498.1383708,폐업,2001-05-14,2022-12-09
4040000-101-2016-00293,포폴로(이디야),213058.482635591,441828.263808067,폐업,2016-12-02,2023-10-06
4040000-101-2021-00311,메가엠지씨커피 미사역점,216873.670459282,451296.310681802,영업/정상,2021-05-20,
4040000-101-2021-00284,매머드익스프레스 미사현대2차점,218091.759753711,450614.564841249,영업/정상,2021-05-11,
4040000-101-2021-00586,메가엠지씨커피 하남학암점,213974.225,442891.744,영업/정상,2021-11-22,
4040000-101-2023-00181,메가엠지씨커피 미사넥서스점,216820.141311837,449810.642846627,영업/정상,2023-04-20,
4040000-101-2022-00142,빽다방 미사센트럴자이점,216546.156202862,450600.707368205,영업/정상,2022-04-04,
4060000-101-2015-00406,빽다방 문산시장점,180861.742015519,483897.367149242,영업/정상,2015-09-03,
4060000-101-2022-00460,컴포즈커피 파주덕은리점,180197.492603581,478812.856698817,영업/정상,2022-08-23,
4060000-101-2022-00492,메가엠지씨커피 파주초롱꽃마을점,175082.003029835,467827.189205739,영업/정상,2022-09-06,
4060000-101-2023-00016,감성커피 파주와동점,178905.857514556,469196.076302023,영업/정상,2023-01-10,
4060000-101-2000-02142,이디야커피,181172.882248152,483553.552081774,영업/정상,2000-11-07,
4060000-101-2018-00018,메가엠지씨커피 파주가람9단지점,178193.070013454,469605.468996952,영업/정상,2018-01-12,
4060000-101-1993-00249,메가엠지씨커피 문산선유리점,182694.224635316,484753.024295947,영업/정상,1993-05-20,
5700000-101-2015-00077,이디야커피 여주남한강점,257216.080231149,422316.908222156,영업/정상,2015-08-06,
3980000-101-2023-00239,빽다방(구리장자호수공원),212277.147199693,453836.234166938,폐업,2023-12-29,2024-01-09
3980000-101-2010-00155,이디야커피구리장자못점,212253.934123615,453846.187487993,폐업,2010-10-14,2023-03-10
3980000-101-2022-00108,이디야커피 구리시청점,211600.38,454607.57,영업/정상,2022-07-29,
3980000-101-2022-00137,메가엠지씨커피 구리수택중앙점,212753.885939983,454994.702602244,영업/정상,2022-09-29,
3980000-101-2018-00130,컴포즈커피 구리돌다리점,212327.366076509,455279.483012517,영업/정상,2018-06-27,
3980000-101-2017-00078,메가커피구리수택점,212321.502447426,454403.051034123,영업/정상,2017-06-02,
3980000-101-2016-00016,메가엠지씨커피 구리인창점,212117.612552482,456344.486297734,영업/정상,2016-02-22,
