관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,is_alive,population
3190000-101-2021-00126,더벤티 장승배기역점,194524.424099884,444693.586536328,영업/정상,2021-05-20,,1,69.125
3190000-101-2023-00028,감성커피 이수역점,198303.632883891,442704.564463554,영업/정상,2023-02-13,,1,48.25
3190000-101-2010-00201,매머드 익스프레스 이수자이점,198257.671096923,442461.96012405,영업/정상,2010-10-18,,1,25.5
3190000-101-2007-00036,이디야,193218.36400997,443239.581054145,영업/정상,2007-02-20,,1,1356.0
3190000-101-1999-07202,빽다방노량진학원점,195017.484223307,445515.522238706,영업/정상,1999-10-18,,1,272.75
3190000-101-1997-05989,이디야 커피 중앙대점,196252.890017558,444982.163446551,영업/정상,1997-06-28,,1,225.375
3190000-101-2004-00133,메가엠지씨커피 노량진점,194943.829772642,445641.033944119,영업/정상,2004-05-11,,1,28.625
3190000-101-2013-00239,메가엠지씨커피 신상도점,194943.585081811,444036.364998886,영업/정상,2013-11-27,,1,193.125
3190000-101-2016-00193,컴포즈커피 숭실대중문점,196102.759535311,443660.758517029,영업/정상,2016-07-28,,1,110.625
3190000-101-2014-00018,이디야커피 중앙대후문점,195777.492131436,444734.427221493,영업/정상,2014-01-29,,1,266.625
3190000-101-2015-00044,메가커피 이수태평점,198240.435377395,442826.714215913,영업/정상,2015-03-19,,1,33.0
3000000-101-2013-00033,이디야커피 청계천점,198502.872319959,451859.966105804,폐업,2013-02-15,2024-03-12,0,48.875
3000000-101-2014-00160,만랩커피 광화문 로얄빌딩점,197662.503910553,452189.09236786,폐업,2014-05-07,2023-05-11,0,11.375
3000000-101-2000-11357,이디야,198681.012391136,452731.165062803,폐업,2000-06-23,2017-11-01,0,1.875
3000000-101-2014-00144,이디야,199783.918141466,453483.532108771,폐업,2014-04-29,2019-09-02,0,247.875
3000000-101-2009-00161,빽다방 대학로점,200105.158,452895.274333333,폐업,2009-05-07,2022-09-29,0,49.875
3000000-101-2015-00241,종로구 숭인1호점 빽다방,201715.52953444,452484.380254535,폐업,2015-07-09,2020-09-10,0,243.5
3000000-101-1992-06474,이디야청계광장점,198119.936679056,451902.693235315,폐업,1992-06-05,2021-01-18,0,0.625
3000000-101-2021-00190,메가엠지씨 커피 안국역점,198729.677469953,452763.488633469,영업/정상,2021-07-12,,1,16.75
3000000-101-2021-00317,이디야커피 종로이화동점,200657.7230967,452793.275174814,영업/정상,2021-11-12,,1,140.625
3000000-101-1987-01740,매머드 익스프레스 광화문역점,197718.375944461,452128.426713533,영업/정상,1987-02-18,,1,9.75
3000000-101-2019-00408,메가엠지씨커피(경복궁역점),197462.012062658,452761.50288173,영업/정상,2019-11-11,,1,142.625
3000000-101-2013-00040,이디야 광화문점,197780.239943419,452135.200711555,영업/정상,2013-02-25,,1,9.75
3000000-101-2013-00257,매머드커피 익스프레스 종로5가역점,200069.449208699,452147.423545856,영업/정상,2013-10-04,,1,20.5
3000000-101-2013-00026,컴포즈커피 경복궁점,197444.252802959,452822.066472537,영업/정상,2013-02-05,,1,142.625
3000000-101-2012-00066,메가엠지씨커피 종로 르메이에르점,198150.300374121,452019.212642931,영업/정상,2012-03-12,,1,0.0
3000000-101-2012-00346,이디야 종로타워점,198504.772723631,452018.161511911,영업/정상,2012-12-31,,1,4.75
