관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,proximity_metro_dist
3120000-104-2015-00101,이디야커피 무악재역점,195487.053824097,453420.848391128,폐업,2015-07-10,2024-07-01,60.46373071592764
3210000-104-2013-00044,이디야(EDIYA COFFEE),199059.644180682,444396.094036908,폐업,2013-04-01,2022-06-13,253.59455564706735
3070000-104-2010-00134,이디야커피 한성대역점,200645.918769282,454135.508838328,폐업,2010-12-07,2024-04-02,174.45814476788158
3000000-104-2009-00135,이디야(동대문역점),200685.734152413,452136.400405769,폐업,2009-11-25,2019-05-28,63.60378391036817
3010000-104-2016-00118,이디야커피숍 명동중앙2호점,198793.839451057,451072.1392557,폐업,2016-04-22,2023-02-14,139.29215253205655
3140000-104-2014-00020,이디야커피,184783.397041118,448230.469938283,폐업,2014-02-17,2018-12-11,1202.70668329932
3140000-104-2011-00046,이디야목동역점,187810.102163123,447103.079668939,폐업,2011-04-12,2024-04-15,124.5597541899746
3010000-104-2015-00174,빽다방 광희동사거리,200448.215888466,451387.090356969,폐업,2015-10-14,2019-09-19,47.81048694929001
3140000-104-2016-00205,이디야커피목동남부점,187971.561450511,445180.40867328,폐업,2016-08-30,2023-08-31,382.5412586393414
3120000-104-2013-00134,이디야동교동점,193547.297910388,450712.127464174,폐업,2013-12-02,2023-08-07,151.28754737680848
3120000-104-2015-00122,이디야커피(독립문통일로점),196472.739619678,452113.046976794,폐업,2015-08-12,2023-02-28,443.9005930396406
3070000-104-2019-00083,더벤티 성신여대점,201467.253780552,454489.790802176,폐업,2019-05-22,2023-08-07,8.907776087112117
3160000-104-2019-00162,컴포즈커피 구로한영시티점,190811.754668537,442118.236573158,폐업,2019-10-01,2020-12-23,658.235527278197
3140000-104-2019-00138,커피에반하다 신정네거리점,187086.000566034,446599.337231584,폐업,2019-07-16,2023-06-01,219.7219355642746
3060000-104-2019-00135,이디야 양원남부점,209417.812611365,455648.198276927,폐업,2019-08-08,2023-05-03,1085.0327526286783
3150000-104-2019-00208,매머드 익스프레스 화곡메가박스점,185574.937191115,448716.274685045,폐업,2019-07-26,2021-07-19,276.41678777612856
3120000-104-2019-00163,이디야 이화여대점,195167.079408119,450633.914892119,폐업,2019-08-19,2024-08-16,137.81040739791126
3150000-104-2019-00247,커피에반하다,184514.388814902,450797.722244176,폐업,2019-08-28,2023-10-20,108.69231600533031
3210000-104-2019-00261,매머드커피,203392.793460583,440676.379919661,폐업,2019-09-04,2019-09-10,307.0643022742235
3170000-104-2019-00105,매머드 익스프레스 갑을그레이트밸리점,189982.344533404,441928.69040241,폐업,2019-06-26,2024-06-18,437.972492948278
3220000-104-2022-00162,이디야커피 삼성중앙역점,204638.735,445739.79,폐업,2022-04-07,2025-03-28,95.59959947328034
3180000-104-2024-00346,이디야,193326.931018911,446973.914570276,폐업,2024-10-18,2024-11-20,384.82844910868374
